time,buy,sell,spot
2017-12-25 11:02:40,629.7,615.72,623.45
2017-12-25 11:02:45,629.7,615.72,623.45
2017-12-25 11:02:48,629.7,615.72,623.45
2017-12-25 11:02:50,629.7,615.72,623.45
2017-12-25 11:02:53,629.7,615.72,623.45
2017-12-25 11:02:57,629.7,615.72,623.45
2017-12-25 12:18:58,632.98,620.88,626.7
2017-12-25 12:19:59,632.49,617.17,626.3
